sample	samples	MRPS16	primary disease or tissue	_primary_site
TCGA-06-0178-01	TCGA-06-0178-01	12.62	Glioblastoma Multiforme	Brain
TCGA-DU-7304-02	TCGA-DU-7304-02	12.29	Brain Lower Grade Glioma	Brain
TCGA-27-1831-01	TCGA-27-1831-01	12.27	Glioblastoma Multiforme	Brain
TCGA-S9-A6WD-01	TCGA-S9-A6WD-01	12.10	Brain Lower Grade Glioma	Brain
TCGA-FG-A6IZ-01	TCGA-FG-A6IZ-01	12.04	Brain Lower Grade Glioma	Brain
TCGA-06-5416-01	TCGA-06-5416-01	11.96	Glioblastoma Multiforme	Brain
TCGA-32-2616-01	TCGA-32-2616-01	11.91	Glioblastoma Multiforme	Brain
TCGA-DB-5274-01	TCGA-DB-5274-01	11.88	Brain Lower Grade Glioma	Brain
TCGA-DH-A669-02	TCGA-DH-A669-02	11.85	Brain Lower Grade Glioma	Brain
TCGA-06-2569-01	TCGA-06-2569-01	11.84	Glioblastoma Multiforme	Brain
TCGA-14-0736-02	TCGA-14-0736-02	11.84	Glioblastoma Multiforme	Brain
TCGA-QH-A65X-01	TCGA-QH-A65X-01	11.82	Brain Lower Grade Glioma	Brain
TCGA-S9-A6TV-01	TCGA-S9-A6TV-01	11.82	Brain Lower Grade Glioma	Brain
TCGA-06-0219-01	TCGA-06-0219-01	11.80	Glioblastoma Multiforme	Brain
TCGA-HT-A74K-01	TCGA-HT-A74K-01	11.78	Brain Lower Grade Glioma	Brain
TCGA-RY-A840-01	TCGA-RY-A840-01	11.78	Brain Lower Grade Glioma	Brain
TCGA-27-2521-01	TCGA-27-2521-01	11.78	Glioblastoma Multiforme	Brain
TCGA-F6-A8O3-01	TCGA-F6-A8O3-01	11.77	Brain Lower Grade Glioma	Brain
TCGA-CS-4943-01	TCGA-CS-4943-01	11.76	Brain Lower Grade Glioma	Brain
TCGA-14-1829-01	TCGA-14-1829-01	11.75	Glioblastoma Multiforme	Brain
TCGA-P5-A77W-01	TCGA-P5-A77W-01	11.71	Brain Lower Grade Glioma	Brain
TCGA-DU-6407-02	TCGA-DU-6407-02	11.69	Brain Lower Grade Glioma	Brain
TCGA-DU-7018-01	TCGA-DU-7018-01	11.69	Brain Lower Grade Glioma	Brain
TCGA-DU-A7T6-01	TCGA-DU-A7T6-01	11.69	Brain Lower Grade Glioma	Brain
TCGA-EZ-7264-01	TCGA-EZ-7264-01	11.67	Brain Lower Grade Glioma	Brain
TCGA-S9-A6TW-01	TCGA-S9-A6TW-01	11.67	Brain Lower Grade Glioma	Brain
TCGA-DU-8168-01	TCGA-DU-8168-01	11.64	Brain Lower Grade Glioma	Brain
TCGA-P5-A5EU-01	TCGA-P5-A5EU-01	11.64	Brain Lower Grade Glioma	Brain
TCGA-DU-A5TP-01	TCGA-DU-A5TP-01	11.63	Brain Lower Grade Glioma	Brain
TCGA-DH-5141-01	TCGA-DH-5141-01	11.62	Brain Lower Grade Glioma	Brain
TCGA-DU-5870-02	TCGA-DU-5870-02	11.62	Brain Lower Grade Glioma	Brain
TCGA-DU-7007-01	TCGA-DU-7007-01	11.62	Brain Lower Grade Glioma	Brain
TCGA-FG-A6J1-01	TCGA-FG-A6J1-01	11.62	Brain Lower Grade Glioma	Brain
TCGA-HT-7606-01	TCGA-HT-7606-01	11.62	Brain Lower Grade Glioma	Brain
TCGA-19-1787-01	TCGA-19-1787-01	11.62	Glioblastoma Multiforme	Brain
TCGA-HT-A619-01	TCGA-HT-A619-01	11.61	Brain Lower Grade Glioma	Brain
TCGA-HT-7478-01	TCGA-HT-7478-01	11.60	Brain Lower Grade Glioma	Brain
TCGA-KT-A74X-01	TCGA-KT-A74X-01	11.60	Brain Lower Grade Glioma	Brain
TCGA-VW-A7QS-01	TCGA-VW-A7QS-01	11.60	Brain Lower Grade Glioma	Brain
TCGA-FG-A87N-01	TCGA-FG-A87N-01	11.59	Brain Lower Grade Glioma	Brain
TCGA-R8-A73M-01	TCGA-R8-A73M-01	11.59	Brain Lower Grade Glioma	Brain
TCGA-DB-5281-01	TCGA-DB-5281-01	11.58	Brain Lower Grade Glioma	Brain
TCGA-DU-7294-01	TCGA-DU-7294-01	11.58	Brain Lower Grade Glioma	Brain
TCGA-FG-5963-01	TCGA-FG-5963-01	11.58	Brain Lower Grade Glioma	Brain
TCGA-TQ-A7RN-01	TCGA-TQ-A7RN-01	11.58	Brain Lower Grade Glioma	Brain
TCGA-TM-A7CA-01	TCGA-TM-A7CA-01	11.57	Brain Lower Grade Glioma	Brain
TCGA-DU-5870-01	TCGA-DU-5870-01	11.56	Brain Lower Grade Glioma	Brain
TCGA-HT-7690-01	TCGA-HT-7690-01	11.56	Brain Lower Grade Glioma	Brain
TCGA-P5-A5EV-01	TCGA-P5-A5EV-01	11.56	Brain Lower Grade Glioma	Brain
TCGA-TQ-A7RM-01	TCGA-TQ-A7RM-01	11.56	Brain Lower Grade Glioma	Brain
TCGA-FG-A6J3-01	TCGA-FG-A6J3-01	11.55	Brain Lower Grade Glioma	Brain
TCGA-HT-7468-01	TCGA-HT-7468-01	11.55	Brain Lower Grade Glioma	Brain
TCGA-DU-A6S8-01	TCGA-DU-A6S8-01	11.53	Brain Lower Grade Glioma	Brain
TCGA-HT-7677-01	TCGA-HT-7677-01	11.53	Brain Lower Grade Glioma	Brain
TCGA-TM-A84G-01	TCGA-TM-A84G-01	11.53	Brain Lower Grade Glioma	Brain
TCGA-DU-6404-02	TCGA-DU-6404-02	11.52	Brain Lower Grade Glioma	Brain
TCGA-CS-6666-01	TCGA-CS-6666-01	11.51	Brain Lower Grade Glioma	Brain
TCGA-DB-5275-01	TCGA-DB-5275-01	11.51	Brain Lower Grade Glioma	Brain
TCGA-FG-7636-01	TCGA-FG-7636-01	11.51	Brain Lower Grade Glioma	Brain
TCGA-FG-A60L-01	TCGA-FG-A60L-01	11.51	Brain Lower Grade Glioma	Brain
TCGA-HW-7491-01	TCGA-HW-7491-01	11.51	Brain Lower Grade Glioma	Brain
TCGA-VV-A86M-01	TCGA-VV-A86M-01	11.51	Brain Lower Grade Glioma	Brain
TCGA-DU-7008-01	TCGA-DU-7008-01	11.50	Brain Lower Grade Glioma	Brain
TCGA-DU-6400-01	TCGA-DU-6400-01	11.49	Brain Lower Grade Glioma	Brain
TCGA-CS-5390-01	TCGA-CS-5390-01	11.48	Brain Lower Grade Glioma	Brain
TCGA-HT-7604-01	TCGA-HT-7604-01	11.48	Brain Lower Grade Glioma	Brain
TCGA-S9-A7IS-01	TCGA-S9-A7IS-01	11.48	Brain Lower Grade Glioma	Brain
TCGA-TQ-A7RK-01	TCGA-TQ-A7RK-01	11.48	Brain Lower Grade Glioma	Brain
TCGA-TQ-A8XE-01	TCGA-TQ-A8XE-01	11.48	Brain Lower Grade Glioma	Brain
TCGA-12-5295-01	TCGA-12-5295-01	11.48	Glioblastoma Multiforme	Brain
TCGA-HT-A61B-01	TCGA-HT-A61B-01	11.47	Brain Lower Grade Glioma	Brain
TCGA-S9-A6U1-01	TCGA-S9-A6U1-01	11.47	Brain Lower Grade Glioma	Brain
TCGA-VM-A8C9-01	TCGA-VM-A8C9-01	11.47	Brain Lower Grade Glioma	Brain
TCGA-DU-6404-01	TCGA-DU-6404-01	11.46	Brain Lower Grade Glioma	Brain
TCGA-DU-8167-01	TCGA-DU-8167-01	11.46	Brain Lower Grade Glioma	Brain
TCGA-HT-A618-01	TCGA-HT-A618-01	11.46	Brain Lower Grade Glioma	Brain
TCGA-S9-A6WP-01	TCGA-S9-A6WP-01	11.46	Brain Lower Grade Glioma	Brain
TCGA-HT-7477-01	TCGA-HT-7477-01	11.45	Brain Lower Grade Glioma	Brain
TCGA-IK-8125-01	TCGA-IK-8125-01	11.45	Brain Lower Grade Glioma	Brain
TCGA-DU-6393-01	TCGA-DU-6393-01	11.44	Brain Lower Grade Glioma	Brain
