sample	samples	MRPS16	primary disease or tissue	_primary_site
TCGA-DD-A73G-01	TCGA-DD-A73G-01	13.35	Liver Hepatocellular Carcinoma	Liver
TCGA-FV-A4ZP-01	TCGA-FV-A4ZP-01	13.13	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AADO-01	TCGA-DD-AADO-01	13.10	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-A8HV-01	TCGA-CC-A8HV-01	12.99	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A39Z-01	TCGA-DD-A39Z-01	12.98	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-A25S-01	TCGA-G3-A25S-01	12.94	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-A123-01	TCGA-CC-A123-01	12.85	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A39X-01	TCGA-DD-A39X-01	12.85	Liver Hepatocellular Carcinoma	Liver
TCGA-BC-A69H-01	TCGA-BC-A69H-01	12.82	Liver Hepatocellular Carcinoma	Liver
TCGA-ED-A7PZ-01	TCGA-ED-A7PZ-01	12.81	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-A7IG-01	TCGA-CC-A7IG-01	12.80	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-A7M9-01	TCGA-G3-A7M9-01	12.80	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-AAV5-01	TCGA-G3-AAV5-01	12.80	Liver Hepatocellular Carcinoma	Liver
TCGA-T1-A6J8-01	TCGA-T1-A6J8-01	12.75	Liver Hepatocellular Carcinoma	Liver
TCGA-2Y-A9H3-01	TCGA-2Y-A9H3-01	12.70	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AADN-01	TCGA-DD-AADN-01	12.70	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A39V-01	TCGA-DD-A39V-01	12.69	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A3A7-01	TCGA-DD-A3A7-01	12.69	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-AAV6-01	TCGA-G3-AAV6-01	12.69	Liver Hepatocellular Carcinoma	Liver
TCGA-5C-A9VG-01	TCGA-5C-A9VG-01	12.66	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A3A9-01	TCGA-DD-A3A9-01	12.63	Liver Hepatocellular Carcinoma	Liver
TCGA-ES-A2HS-01	TCGA-ES-A2HS-01	12.61	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-A9FW-01	TCGA-CC-A9FW-01	12.59	Liver Hepatocellular Carcinoma	Liver
